reference,translation,similarity,lenght_diff,ref_tox,trn_tox,diff_tox,ref_words,trn_words
"You must think I'm some kind of fool, huh?",you must think I'm crazy.,0.678334985997,0.3953488372093023,0.9932449460029602,0.1451229304075241,0.8481220155954361,9,5
"they seek more places for entry, like any other vermin.","They're looking for multiple points of ingress, just like any other vermin.",0.643875969024,0.2631578947368421,0.9479305148124696,0.0091139944270253,0.9388165203854444,10,12
I'll think about it if you die at all.,I'll think about it if and when you die. Hey!,0.803800496591,0.1521739130434782,0.9661266207695008,0.0292516257613897,0.9368749950081112,9,10
"and with his jokes, he needs the most ridiculous suit.","And with jokes like that, he needs the funniest suit they have.",0.7344905260469999,0.140625,0.9981788396835328,0.000530345540028,0.9976484941435048,10,12
pervert!,Creep!,0.610526052429,0.2222222222222222,0.9986563920974731,0.0003279192605987,0.9983284728368744,1,1
You forget in your imbecilic devotion to your patient... that the punishment for two murders... is the same as for one.,you're forgetting your loyalty to your patient that a $2 murder charge is the same as one.,0.771409796264,0.2416666666666666,0.9970965385437012,0.0002728763502091,0.996823662193492,21,17
"Christ, I can't see a frigging thing.","oh, God, I don't see anything.",0.7781442388850001,0.1842105263157894,0.965372920036316,0.0001043024094542,0.9652686176268618,7,6
We may have to put her out of her misery.,we can help her out of this misery.,0.768574363664,0.1428571428571428,0.9623844623565674,0.0051889196038246,0.9571955427527428,10,8
"In five seconds, I'm gonna punch it. Oh, yeah?",I'll hit it in five seconds.,0.8410635066150001,0.3829787234042553,0.9777683615684508,0.0491063334047794,0.9286620281636714,9,6
I haven't got a fucking husband!,I don't have a husband.,0.848627109038,0.2727272727272727,0.9963657855987548,6.410008791135624e-05,0.9963016855108434,6,5
And the administrator who he's having sex with,and the director he's sleeping with,0.721496879171,0.2340425531914893,0.9860646724700928,0.0004067865374963,0.9856578859325964,8,6
start sucking on your drawers.,Begin underwear soaking.,0.649768024984,0.1935483870967742,0.943978488445282,0.0003005630569532,0.9436779253883288,5,3
"go to sleep, little brat.","Go to bed, spotty.",0.6734188060430001,0.2692307692307692,0.992866277694702,0.0060690478421747,0.9867972298525274,5,4
He doesn't deserve the mercy of a quick death.,he does not deserve the mercy of death.,0.88955702266,0.1489361702127659,0.9868183135986328,0.2344920635223388,0.752326250076294,9,8
I didn't want to kill her!,Come on! I didn't mean to kill her!,0.836123145251,0.25,0.948734700679779,0.0323087573051452,0.916425943374634,6,8
"I know how he is. He's incredibly talented, but he's a jerk about it.","he's incredibly talented, but he's crazy sometimes.",0.655101594166,0.2571428571428571,0.994273602962494,0.0027257795445621,0.991547823417932,14,7
cut his head off. He's gonna die.,Cut off the head of the snake... the body dies.,0.7505540633419999,0.2916666666666667,0.99802565574646,0.4824779331684112,0.5155477225780487,7,10
the Cloudmaster's brain was hijacked by a parasite that infects the brain,"The ant's brain has been hijacked by a parasite that infects the brain,",0.936809416575,0.027027027027027,0.8116711974143982,0.1795155853033065,0.6321556121110917,12,13
"The heroic stuff, your fucking territory.",heroic things are your territory.,0.815176624642,0.1904761904761904,0.998337984085083,0.0046475599519908,0.9936904241330922,6,5
I would complete my honor and sell my soul to the most despicable wretch.,"Lest I cease to honor mine own truth, and by my body's action teach my mind a most inherent baseness.",0.623434131406,0.2745098039215686,0.998543620109558,0.0002077289391309,0.9983358911704272,14,20
"wait, don't step in the shit.",Don't step in the poo.,0.6262924790600001,0.2333333333333333,0.9993268251419068,0.004869061987847,0.99445776315406,6,5
but this thing is shit.,But this thing sooks.,0.730835120368,0.0833333333333333,0.9996826648712158,0.0021635629236698,0.997519101947546,5,4
a joker until he dies.,A joker to the end.,0.6006000598210001,0.1304347826086956,0.9473920464515686,0.0016697333194315,0.9457223131321372,5,5
Make sure I never see you again.,make sure we never see each other again.,0.818542243687,0.1951219512195122,0.876444935798645,0.0016220106044784,0.8748229251941666,7,8
Look at your fucking face.,look at yourself.,0.651169452527,0.3333333333333333,0.9996589422225952,0.0003190505667589,0.9993398916558364,5,3
"""that's what everyone says about the stupid April showers,"" he said.","""They all say that about bloody April showers,"" he said.",0.813075229796,0.1739130434782608,0.9995415210723876,0.0001891190477181,0.9993524020246696,11,10
what's a big black in the back?,What's the big one in the bag?,0.60652048515,0.03125,0.8404485583305359,4.930612703901716e-05,0.8403992522034969,7,7
"Who's supposed to clean this shit up now, huh?","who's gonna clean up this mess, huh?",0.842679786804,0.2127659574468085,0.9987218976020812,0.0003089200763497,0.9984129775257314,9,7
"Black, white, sinner or Saint.","black, white, sinners, or saints.",0.892480482138,0.088235294117647,0.9250768423080444,0.0185602456331253,0.9065165966749192,5,5
Ro-kenn got angry and ordered his robots to kill anyone who saw it.,"Ro-kenn went livid, ordering his robots to kill everyone who had seen.",0.779718593951,0.0422535211267605,0.9164094924926758,0.3266471624374389,0.5897623300552368,13,12
I'm not even gonna fuck you.,I won't even leave you.,0.7602344169859999,0.1724137931034483,0.998185932636261,0.0001620343682589,0.998023898268002,6,5
make-up white in fat:,Make-up white in tube:,0.7504712627779999,0.0434782608695652,0.8580572605133057,0.0014930099714547,0.8565642505418509,4,4
you gonna explode?,You explode?,0.933827245318,0.3157894736842105,0.744282603263855,0.0353981330990791,0.7088844701647758,3,2
An inept metaphor?,inappropriate metaphors?,0.689720038789,0.24,0.778285562992096,5.074725413578562e-05,0.7782348157379602,3,2
if your sperm is wasted.,"""If a sperm is wasted",0.838831559512,0.12,0.9346274733543396,0.0019510088022798,0.9326764645520598,5,5
I'm too sick to assist you in one of your hallucinations!,I'm too sick to witness one of your hallucinations!,0.864860005349,0.1034482758620689,0.7661224007606506,0.0563219487667083,0.7098004519939424,11,9
I just beat up three guys by myself.,I just cut three big men myself.,0.770447550332,0.1081081081081081,0.7509382367134094,0.000857624807395,0.7500806119060144,8,7
"there were two little bastards who I loved, but sometimes I would wring their necks.","There were two little brats who I loved, but I still wanted to wring their necks.",0.822922123036,0.0352941176470588,0.9944498538970948,0.0323929004371166,0.9620569534599782,15,16
you think he's an idiot?,What? You think he's a douche?,0.850724932098,0.1935483870967742,0.9996753931045532,0.0118291685357689,0.9878462245687843,5,6
did your fiancé want some kind of sex quickie again?,Is that fiancé of yours On some sort of sexual fast again?,0.70603639028,0.1016949152542373,0.9841541051864624,0.0181578788906335,0.9659962262958288,10,12
Can you shut up?,can you be quiet?,0.805087079109,0.0555555555555555,0.9932898879051208,0.0001415267033735,0.9931483612017472,4,4
As if I'd murder you in broad daylight.,it's like I killed you in a day.,0.61894133022,0.175,0.992727518081665,0.1580183655023574,0.8347091525793077,8,8
"if Bahia hasn't killed Danny now, I'm sure he wants him alive.","If Bahia hasn't killed Danny by now, this won't put him over the edge.",0.692322349076,0.1126760563380281,0.7612650990486145,0.0152503252029418,0.7460147738456727,12,14
the butt is now the basis of all hip-hop video clips.,The booty is the cornerstone of all hip-hop videos today.,0.773935555451,0.0689655172413793,0.95902281999588,0.0112586710602045,0.9477641489356756,11,10
Why the hell did you do that?!,why on earth did you do that?,0.7390137237019999,0.032258064516129,0.9813794493675232,0.0261197388172149,0.9552597105503084,7,7
are you crazy?,Are you mad?,0.907068824718,0.1333333333333333,0.9788851141929626,0.0092452550306916,0.969639859162271,3,3
everyone's gone crazy.,It's getting pretty crazy out there.,0.685553006456,0.3783783783783784,0.7430252432823181,0.001317114685662,0.7417081285966561,3,6
When the man asked the woman what the guards dicks were.,"when the man asked, what about the gut of the guards?",0.602101123323,0.0526315789473684,0.9870030283927916,0.0004863434587605,0.9865166849340312,11,11
"'the girl made a fool of me, Mulgrave.","'The girl made me feel like a fool, Mulgrave.",0.882827948415,0.1521739130434782,0.982980728149414,0.3969542682170868,0.5860264599323272,8,9
"well, the way in which you ruin your life-- death will be a sweet deliverance.","Well, the way he's screwing up his life, death will be a sweet release.",0.74206985389,0.0886075949367088,0.9075880646705629,0.1466064006090164,0.7609816640615464,15,14
"He was already beginning to take a dislike to the first speaker, as one naturally does with people urging that you be put to death without delay.",he was beginning to hate the first speaker as natural as you meet a man who insists you are not to be killed.,0.635533159304,0.2465753424657534,0.9564517736434937,0.0001032759028021,0.9563484977406916,27,23
"come on, fuck!",Let's go! Come on!,0.7039240922550001,0.2105263157894736,0.9996784925460817,4.2233234125887975e-05,0.9996362593119558,3,4
"throw the gun, Kim.","Drop the gun, Kim, and run!",0.829656685538,0.2857142857142857,0.8200226426124573,0.0466494672000408,0.7733731754124165,4,6
Let's just get back. Let's pack shit up. -Let's get out.,"come back, let's pack up and get out of here.",0.755360731561,0.1929824561403508,0.989852011203766,0.0007740755099803,0.9890779356937855,11,10
"My God, I'm fucked! Remove that thing!","oh my God, Michelle stop the nasty thing!",0.642596814137,0.0714285714285714,0.9993959665298462,0.0073644067160785,0.9920315598137676,7,8
Let's play some fucking games.,let's play something.,0.7292233528550001,0.2903225806451613,0.9983024597167968,5.521523780771531e-05,0.998247244478989,5,3
"He rolled over, looked up into my eyes, and he said, ""Kill me.""","he rolled over, looked in my eyes and said:",0.793123340951,0.3125,0.9952377080917358,0.0001186521258205,0.9951190559659152,13,9
"And I wish to hell it would've been my father, because Nathan didn't make it easy.","and I wish he was my father, because Nathan couldn't have done it so easily.",0.890645745733,0.072289156626506,0.94403338432312,0.0002788299752864,0.9437545543478336,16,15
"He was gone more nearly 600 seconds, buried in the mass; he came out dragging a piece of junk behind.","he had been gone for more than six hundred seconds, buried in a heap; he climbed and dragged a piece of scrap metal behind him.",0.783780184815,0.203125,0.774021565914154,0.00023022996902,0.773791335945134,20,25
Hermit used to do assassinations until he got diabetes.,the hermit was involved in murder until he got diabetes.,0.8087258173819999,0.0175438596491228,0.618919312953949,0.0538840517401695,0.5650352612137794,9,10
"""the bitch is mine.","""She's mine.",0.7310331253810001,0.35,0.9992408752441406,5.428010263131e-05,0.9991865951415092,4,2
"We shot his plan to hell. He got here, hid out, must be hoping for the best.","he will come here, he hides... he must hope for the best.",0.6836933231899999,0.2467532467532467,0.6419462561607361,0.0001124291593441,0.641833827001392,17,12
so you don't care if they want to kill us?,You really don't care somebody's trying to kill us? Us?,0.769300801085,0.2321428571428571,0.9515003561973572,0.0610009059309959,0.8904994502663612,10,10
My brother called me and ripped me another asshole!,"my brother called me, and he threw me another dier into the rita.",0.822267159403,0.2121212121212121,0.9994420409202576,0.0057047819718718,0.9937372589483856,9,13
Shit. God.,"oh, my God.",0.7539557951899999,0.0833333333333333,0.9994839429855348,8.283628994831815e-05,0.9994011066955863,2,3
"Bloody hell, thought Vimes.","oh, hell, thought Vimes.",0.8795274531799999,0.1071428571428571,0.9184126853942872,0.0052444883622229,0.9131681970320644,4,4
"Never find them, fool! They are not on the map!",you'll never find them. They're not on the map yet.,0.7184101313600001,0.0769230769230769,0.9994471669197084,4.341068051871844e-05,0.9994037562391896,10,10
"Beat it, fuckwad!",I'll beat you!,0.630097889463,0.1666666666666666,0.9993804693222046,0.252906322479248,0.7464741468429565,3,3
"""The Chinese smell a rat,"" Hoffman said.","""the Chinese suspects something,"" Hoffman said.",0.744188510978,0.1458333333333333,0.9976052045822144,4.053770680911839e-05,0.9975646668754052,7,6
"for Christ's sake, we're talking about launching an insane person into national television.","For God sakes, we're talking about putting an irresponsible man... on national television.",0.8059190307449999,0.0108695652173913,0.7424654960632324,0.0110405860468745,0.7314249100163579,13,13
Shit! Pete's deadspeak howled in Harry's mind.,"in Harry's mind, he wailed Peter's cry in the words of the dead.",0.603535895217,0.2769230769230769,0.9985931515693665,0.0001122740213759,0.9984808775479904,7,13
Rubbish. We don't want to be happy.,"we don't want to be happy, but famous.",0.62552592329,0.0769230769230769,0.9978952407836914,0.0005617865826934,0.997333454200998,7,8
I was trapped with Damon on that damn blood farm.,I was trapped in that bloody farm house with Damon.,0.855038559007,0.0384615384615384,0.998698353767395,0.1610235571861267,0.8376747965812683,10,10
You could kill somebody!,you could have killed someone!,0.909585692124,0.1935483870967742,0.9808526635169984,0.0410882085561752,0.9397644549608232,4,5
He'd heard this rubbish so many times from so many voices.,he had heard this rumor from so many people.,0.691647852306,0.2372881355932203,0.994746744632721,4.151181929046288e-05,0.9947052328134304,11,9
"Hooray! Dude, those gaywads are on our side?",are the bouquets on our side?,0.740225436839,0.3333333333333333,0.9507383704185486,4.622828055289574e-05,0.9506921421379956,8,6
"Y'all both here on my guarantee, so respect that shit and say what you feel.","you both have my security, so respect her and say what you want.",0.640438391918,0.1558441558441558,0.9989461302757264,5.724777656723745e-05,0.9988888824991592,15,13
Is being desperately horny contagious?,why? Is it a desperately horrendous contagious?,0.608635658539,0.1875,0.9142082929611206,0.0006973076378926,0.913510985323228,5,7
I suck at this.,I'm terrible at this.,0.67237373095,0.2727272727272727,0.9795008897781372,0.0011695749126374,0.9783313148654998,4,4
The trouble was that wizards were such ingenious fools.,the problem was that the wizards were such resourceful people.,0.82326416957,0.1111111111111111,0.9994044303894044,0.0004638538521248,0.9989405765372796,9,10
"""do you know how many people will be knowingly poisoned - and tortured, killed, and literally forfeited to hell - if Satanic's people are going to win the election?""","""Have you any notion,"" Lachesis asked grimly, ""how many people will knowingly be poisoned–and tortured, murdered, and literally damned to Hell–if the minions of Satan win political power on Earth?""",0.716612848772,0.1616161616161616,0.9147259593009948,0.2252291291952133,0.6894968301057814,29,30
the kid's smart like bowling balls.,Boy's about as sharp as a bowling ball.,0.686634645793,0.1,0.7084589600563049,0.0048048277385532,0.7036541323177518,6,8
"Don't worry, Marge. As a favor to you, I'm enrolling that precious little jerk in this fresh air summer camp.","don't worry, Marge, to make it easy for you, I'm sending this little love junk to the summer camp for fresh air.",0.7831149755410001,0.0265486725663716,0.992834210395813,0.0332663357257843,0.9595678746700288,20,22
Would the Huron make his Algonquin brothers foolish... with brandy and steal his lands to sell them for gold to the white man?,Buda Huroni bribed their brothers... bottles of brandy and stealing their land to sell it to white men?,0.812086772029,0.1811023622047244,0.9736413955688475,0.0341438390314579,0.9394975565373896,23,18
Crazy hothead!,crazy cholera!,0.744113273855,0.0,0.9993531107902528,0.0191601701080799,0.9801929406821728,2,2
he shot the first girl in the face.,"The first girl, she was shot in the face.",0.908044554844,0.1428571428571428,0.989474356174469,0.0026795133017003,0.9867948428727686,8,9
And I hate you too!,and you too!,0.7693836986849999,0.35,0.995162844657898,5.157729174243286e-05,0.9951112673661556,5,3
It is a fucking miracle.,it's a terrible miracle.,0.764461631807,0.0,0.9817724227905272,0.0001513429451733,0.981621079845354,5,4
Jordy wants to break Jett's mouth because it was his order.,Jordy wants to fight Jett because it was his orders.,0.701334755463,0.1166666666666666,0.6707902550697327,0.0006177821196615,0.6701724729500712,11,10
"he starts to convulse, sighs like a fool, and wedges between my thighs so tight that I have not heard of her photo of her.","She's movin' around, convulsing, breathing heavy, and her legs are pressed up against my ears so tightly... that I don't hear her father come into the room.",0.607626856616,0.2165605095541401,0.9846162796020508,0.0007251553470268,0.983891124255024,25,27
"Love, Tyrone C. Get your shit together, you made bail.","nice, Tyrone C. Pack up, you're released on bail.",0.619721227487,0.0909090909090909,0.9994449019432068,6.728535663569346e-05,0.9993776165865712,10,9
Then cover her breast with one hand; cover it completely.,"then put your hand on her breast, grasp the whole thing.",0.655775036384,0.0172413793103448,0.9910824298858644,0.4210900664329529,0.5699923634529115,10,11
"She tortured you, using the same machine she used to brainwash that bitch in the flower dress. And right now, she's probably doing the same to Agent Simmons.","she tortured you with the same machine that used that smell in the flower tubes, which is probably what Simmons is doing right now.",0.655608098683,0.1645569620253164,0.9988903403282166,0.0017641908489167,0.9971261494793,28,24
"And by Christ, son, you're the dead spit of your old man.","and, Christ, it's like you fell out of your father's eye.",0.665742135707,0.0,0.9993398785591124,0.0021632234565913,0.9971766551025212,12,11
Whoa. You work on your boob-grabbing Tourette's situation on your own time.,"on your tourette's tit-for-tat, you're gonna have to work in your spare time.",0.610063558576,0.0256410256410256,0.9193162322044371,0.0027356422506272,0.91658058995381,12,13
Number two is Jack Rackham is a crew killer.,number two is that Jack Rackham killed his crew.,0.8334316089129999,0.0816326530612244,0.9706357717514038,0.0050337291322648,0.965602042619139,9,9
"""I hope so--for at that time I was a fool.""","""I hope so... Because I was a goose then.""",0.717705427843,0.0227272727272727,0.9447134137153624,0.0014672895194962,0.9432461241958664,10,9
you want to shoot?,Shoot or not?,0.656082073698,0.2631578947368421,0.97114896774292,0.0352277979254722,0.935921169817448,4,3
You probably have your bloody friend Norrington to thank for that.,probably because of your friend Norrington.,0.79165693393,0.3432835820895522,0.9857521653175354,4.448499021236785e-05,0.985707680327323,11,6
"oh, shit, yeah.","Oh, hell, yes.",0.8643396316299998,0.0625,0.9989921450614928,0.0087978178635239,0.990194327197969,3,3
"Love's a bitch, ese.","love is hell, man.",0.618699609087,0.0952380952380952,0.9995706677436828,0.0587922669947147,0.940778400748968,4,4
"It was a divine place, a living reminder of that glorious era nearly a thousand years ago when Arabs ruled, creating a benevolent center of Muslim learning here in the midst of ignorance and savagery.","it was a divine place, a vivid reminder of a glorious era almost a thousand years ago, when Arabs ruled in the midst of ignorance and simplicity created a peaceful center of Muslim teachings.",0.90613118566,0.044776119402985,0.6862500309944153,0.0102111361920833,0.676038894802332,35,34
I was tryin' to track down the fucking assholes I thought killed you.,"I wasn't trying to trace you, I was trying to track down those I suspected had killed you.",0.734295480111,0.2307692307692307,0.999464213848114,0.0084397150203585,0.9910244988277556,13,18
"Was your entire school gay, or was it just the baseball team?","was the whole school warm, or was it just a baseball team?",0.813222545045,0.0483870967741935,0.9197932481765748,4.237116081640124e-05,0.9197508770157584,12,12
"If we bury you, it will ruin the festival for everybody.","if we have to bury you, everyone will have a bad festival.",0.768595435209,0.0338983050847457,0.9739786982536316,0.0724838599562645,0.9014948382973672,11,12
"Call me ""shoot man.""",call me Shootman.,0.6139632124600001,0.1428571428571428,0.9925754070281982,0.0026108776219189,0.9899645294062792,4,3
And we sure ain't in no damn militia.,and we don't belong to any militia.,0.708683355168,0.0526315789473684,0.9432939887046814,6.667677371297032e-05,0.9432273119309684,8,7
"You are, from this moment, an outlaw.","from now on, you're an outlaw.",0.791169871108,0.1842105263157894,0.8975710868835449,0.2760635018348694,0.6215075850486755,7,6
"What the hell, Abe?","what was that about, Abe?",0.8490412696680001,0.2307692307692307,0.9802840352058412,4.067293048137799e-05,0.9802433622753598,4,5
You're just an extra toilet to clean.,you were just another toilet I had to clean up.,0.814903024444,0.2083333333333333,0.914107859134674,0.1322833597660064,0.7818244993686676,7,10
"Jarek, I'm not afraid to die.",Jarek you know I'm not afraid to die anymore.,0.824557329023,0.3478260869565217,0.97033429145813,0.0471423715353012,0.9231919199228288,6,9
'dear God - if you want something so useless to me!,'Good God - how can you ask what is so unnecessary!,0.666847714869,0.0,0.9837571978569032,5.7431065215496346e-05,0.9836997667916876,11,11
"Well, new yorkers... I don't want to say that you guys are pussies but seriously, you should see what a winter in Minnesota looks like.","I don't want to say you're a New York City guy, but you should see what winter looks like in Minessota.",0.713093814148,0.2352941176470588,0.9910652041435242,4.63941614725627e-05,0.9910188099820516,25,21
Her computer was on the bed and there were some papers spread over the worn yellow spread where a thousand people had lain and fucked and farted and fought.,"she had a computer on the bed, and some papers lay planted on the worn yellow overcoat, on which thousands of people lay, pillaged, and fled.",0.6771519572560001,0.0955414012738853,0.9449437856674194,0.0001232699287356,0.944820515738684,29,26
I take a lot of shit from you because I love you.,I missed you a lot because I love you.,0.818406934129,0.22,0.9987155199050904,5.468160088639706e-05,0.998660838304204,12,9
The lump in your breast has been removed.,the tumor removed from your breast.,0.786985283596,0.1428571428571428,0.902119517326355,0.0147850746288895,0.8873344426974655,8,6
"That's the whole point. We lock ourselves out the world, before the world bites us on the ass.","that's what it is, we'll lock ourselves in front of the world before the world bites us.",0.812887486698,0.0631578947368421,0.9915817379951476,0.0002560698776505,0.9913256681174972,18,17
You ever screw a colored girl?,did you have a colored girl?,0.742126409699,0.064516129032258,0.994074046611786,0.0008084460278041,0.993265600583982,6,6
