reference,translation,similarity,lenght_diff,ref_tox,trn_tox
"'It'd be a bit of a shame for Nobby if she lets that go to her head, though,' said Cheery.","'but it would be silly of Nobby to let it go to her head, 'said Cheery.",0.696937733452,0.2087912087912088,0.0004972369060851,0.7501959800720215
You still got your damn shirt.,you didn't give anyone your shirt.,0.724056610475,0.1142857142857142,0.9996045231819152,6.798761751269922e-05
"You're going to stop killing the Fallen, the Nephilim.","you'll stop killing Padlé, Nephilim.",0.808499903651,0.3272727272727272,0.0721334666013717,0.7700220346450806
Make another bullshit movie?,you're gonna make another crack movie?,0.7039591847319999,0.2564102564102564,0.999613344669342,0.0340948849916458
It's still dirty there.,he's still dirty.,0.89822714094,0.25,0.0107834795489907,0.9949799180030824
Oh snap.,"oh, shit.",0.609940254244,0.1,0.0001596792426425,0.999053418636322
She's working for the fucking people who took your picture man!,he works for those who took your picture!,0.819082126483,0.34375,0.999161958694458,4.166601502220146e-05
"And we'il call it ""must shit tv"".",and we'll call it The Bigger TV.,0.615858265202,0.0294117647058823,0.9966301321983336,5.6062031944748014e-05
You have no fucking right to question anyone-- anyone!-- in my embassy without my say-so.,you have no right to interrogate anyone in my embassy without my permission.,0.776127482035,0.1444444444444444,0.9937716126441956,0.0001326254568994
"Where Randall Carlson, scum-sucking drug dealer, is parked down the street.","where Randall Carlson, a drug dealer, parked in the street.",0.924328743843,0.2105263157894736,0.9992883801460266,0.0030455766245722
She looks like a kind of distressed goddess.,she looks like an unhappy goddess.,0.749649579483,0.2222222222222222,0.0019673334900289,0.9320738911628724
"Fuckin' hell, how does that happen?","oh, my God. How did this happen?",0.662869040048,0.0833333333333333,0.9985307455062866,6.329199095489457e-05
You have to press it against her to keep her from blowing your head off.,you have to press against her so she doesn't blow you up.,0.7121573975509999,0.2054794520547945,0.9820623993873596,0.0022512152791023
"Where'd you buy that sweater, JaCrew?",where'd you get that stupid sweater?,0.735248250081,0.0263157894736842,4.617792001226917e-05,0.9996894598007202
"""Get your ass back here!""","""come back at once!""",0.692763307182,0.1923076923076923,0.998935043811798,0.0003217142657376
"And everyone laughed, but I don't understand what's funny.","and everyone laughed, but I don't understand what's ridiculous.",0.835806684808,0.078125,4.22127777710557e-05,0.9359880089759828
"You know, Sheldon, I used to cut my brother's hair. I could do it for you.","I was shooting my brother, Sheldon, so I could cut you.",0.7719437338699999,0.2533333333333333,0.0017000619554892,0.9928755760192872
"I feel awful, but it was worth it to catch and kill this baby fish.","I feel terrible, but it was worth it when we caught and killed this young fish.",0.820686190792,0.15,0.9807618260383606,0.0056282924488186
"Or would he disgrace himself, like an animal, by some dismal faux pas?",or would he behave like an animal and humiliate himself with some vile faux pas?,0.8127161016760001,0.1234567901234567,0.0560582168400287,0.9727460741996764
My mother waddles faster than that lardass.,my mother is moving faster than the spy.,0.718929043503,0.0681818181818181,0.8386102318763733,0.015695221722126
"He's white, pierced tongue, delivers pizza.","a piercing in his tongue, delivering a pizza.",0.622538110308,0.0434782608695652,0.887269139289856,0.0466403290629386
How dirty do you want it?,how much do you want him to get drunk?,0.604560385063,0.3333333333333333,0.5971408486366272,0.0026834192685782
We're in the middle of a godsdamn jungle.',"we're in the middle of a godforsaken, accursed jungle. """,0.607867381868,0.2456140350877192,0.9716919660568236,0.1109274104237556
"“Finn,” Sally said, then tilted the flask and swallowed, wiping her mouth with the back of her hand, “you gotta be crazy . . .”","""Finn,"" said Sally, then leaned the bottle and gulped, wiping her mouth with the back of her hand, ""you're going to go crazy...""",0.7195171836830001,0.0077519379844961,0.9694143533706664,0.2661188542842865
How the crap are we gonna get home?,how the hell do we get home?,0.847038654107,0.1944444444444444,0.9865078926086426,0.1087386235594749
So welcome to the Al-Q'Utaya terrorist team... where work is truly a blast.,welcome to Al-Qaeda's terrorist team...... where you're really gonna be on fire.,0.644418519538,0.0617283950617283,0.0131870694458484,0.9739940166473388
With a lawn and an in-built sprinkler system buy a one-way ticket out of this hellhole.,"with an automatic sprinkler, I'll buy a ticket out of this hellhole.",0.70958424949,0.2159090909090909,0.0322702936828136,0.9661832451820374
"If you can look at this, you should have enough courage to kill a spider the right way.","if you can look at this, you should even have the guts to kill a spider.",0.80685245605,0.1704545454545454,0.0440135523676872,0.9717475771903992
"And then it started to get wild, and people were getting freaky in the pool and stuff.","and then it started rolling, and people were doing stupid things in the pool and so on.",0.708095741396,0.0113636363636363,0.0001924310490721,0.9993419051170348
I'll just dump 'em at my mom's.,I'll just put them off to my mom.,0.664342103852,0.0588235294117647,0.7987791299819946,0.0002242982882307
"But you... you just stick a knife in his gut, huh?","but you... you're just gonna gut him with a knife, right?",0.8458733922939999,0.1206896551724138,0.1341378539800644,0.9865466356277466
I'm not the quitter!,I'm not a pussy!,0.637212879699,0.1904761904761904,5.841574602527544e-05,0.9757035374641418
I kille my father.,I killed my father.,0.815595447009,0.05,0.001666672877036,0.8493648767471313
Marriage... is like putting your junk inside a tiger's mouth.,marriage... is like putting your pinhole in the mouth of a tiger.,0.872937953406,0.0606060606060606,0.9918659329414368,0.0093934284523129
"No matter what she says she knows all we gotta do is give her the details because, my friends, bullshit is in the details.","whatever he's saying, he knows what we need to supply him with details because, folks, he's got the details.",0.633592745701,0.1138211382113821,0.9938900470733644,3.558464231900871e-05
"It ended up with everybody naked and finally making gay pots of coffee in the kitchen and Princess on the kitchen floor naked with her knees clasped in her arms, lying on her side, just for nothing, just to do it, then finally she and I took a warm bath together in the bathtub and could hear Alvah and Japhy discussing Zen Free Love Lunacy orgies in the other room.","in the end, it turned out that we were all naked, and in the kitchen we cooked an incredible cup of coffee, the Princess lay naked on the floor and hugged her knees and knees, just like that, and in the end, we took a hot bath together in the bathroom, and I heard Alvah discuss with Japhym about the bizarre Zen orgies of free love.",0.851241753116,0.0899182561307901,0.9741070866584778,0.002138783223927
There's a vampire named Taryn in the toilet with that man you kicked.,"the guy you kicked, he's in the bathroom with a bottle of Tarylyn.",0.6648618901919999,0.0428571428571428,0.9862006306648254,0.0208717882633209
"Her funeral was 6 months ago, since then, you've gotten a D.U.I. You've been missing work and you're messing around with that French guy all the time sucking on his béarnaise sauce.","her funeral was six months ago, they caught you driving in drunk driving, you didn't go to work, and she was still hanging around with the Franks, sucking on his Béarnais sauce.",0.6797011337379999,0.0219780219780219,0.98254656791687,0.0321369059383869
"Andy, stop.","Andy, shut up.",0.7140525503980001,0.2,7.369675586232916e-05,0.9995885491371156
"Wait, you were studying me this whole time like some sort of lab rat?","wait, you've been looking at me all this time, like a lab rat?",0.866232758715,0.1,0.4344633519649505,0.963074803352356
What the frell is going on down there?,what the fuck is going on?,0.708880387975,0.3076923076923077,0.0018869907362386,0.9991100430488586
"""They are our enemies,' she said, speaking as if to a simpleton.","""they are our enemies,"" Sia pointed out as if speaking to the mentally retarded.",0.634763810339,0.1975308641975308,0.0891644805669784,0.9888259172439576
You...take...incompetent... to an entirely new level.,you... have promoted... incompetence... to a whole new level.,0.702877263405,0.1290322580645161,0.9512465000152588,0.0203549098223447
What the devil's wrong with... ...communications?,what the hell is wrong with you?,0.675586420937,0.34,0.0102861458435654,0.990880012512207
"Without the reserve engines, this ship is stupid and useless. - Just like you. - Who am I kidding?","without auxiliary engines, this ship is completely finished. - Just like you. - It's a joke?",0.774726747075,0.0606060606060606,0.9997096657752992,0.000591745309066
Throw Cyrano out!,"away, Cyrano!",0.64094292283,0.2222222222222222,0.970591962337494,0.0006434292299672
"Okay, well, the last poor sap she ran a scam on ended up dead.",the last loser she cheated on was dead.,0.6354371248640001,0.365079365079365,0.1375420540571212,0.9990198612213136
A hidden jewish woman disappears... ...and the only sailor around to help is you.,there's a Jew hidden away...... and the only one flying around is you.,0.723633141489,0.1341463414634146,0.022101392969489,0.988269567489624
"One moment she seems perfectly cogent, the next... she speaks nonsense.",at one point he seems perfectly normal...... and then he talks gibberish.,0.616990164175,0.027027027027027,0.9651811122894288,0.0081651490181684
Harvey Dent's most-wanted scum bag collection? Or the sweet and innocent civilians?,a collection of Denton's orders or innocent civilians?,0.665342025653,0.3452380952380952,0.9787946939468384,7.860246842028573e-05
There were a lot of people who were plain nuts about it and they'd pay fancy prices for it.,"there were a lot of people who were complete fools of them, and they were willing to pay for them in huge sums.",0.610974140904,0.1785714285714285,0.0193362664431333,0.9871945977211
And then she poked me right in the face.,and then she punched me in the face.,0.877869062517,0.0975609756097561,0.0089322468265891,0.9020034074783324
You ruin everything you touch!,you will destroy everything you touch!,0.912573368796,0.2051282051282051,0.0014893172774463,0.9108537435531616
"So you bailed, I take a double dose Of dad's crap for years,",I'll get a double dose of Dad's vetoes in all these years,0.701973120032,0.0491803278688524,0.9993851184844972,0.0001166111469501
What's going on here?,what the hell is going on here?,0.922028219333,0.3125,4.201153933536261e-05,0.877906858921051
"And you, Witch of Moab... you would have been the perfect target for people wanting to blame someone.","and you, the witch of Moabsky... have to be the perfect target for people to blame.",0.7607556734759999,0.1764705882352941,0.0276750605553388,0.9683502316474916
Take the Zodiac and get rid of him.,take the boat and get rid of him.,0.8132239904340001,0.0555555555555555,0.2473677992820739,0.8172614574432373
Hey! Why'd you beat him to be a cripple for life?,why did you turn him into a cripple for the rest of your life?,0.705328428565,0.2063492063492063,0.9333975315093994,0.0574378035962581
"Trashcan went to the cardboard carton, selected a beer, and-popped the top.","trash went to a carton, picked a beer and tore off the top.",0.7155994797930001,0.2105263157894736,0.0045918077230453,0.9699538350105286
What? You get killed when you go to pee you get killed when you go to play...?,you can die here if you go to rest here to die if you play.,0.612656899884,0.240506329113924,0.0169013291597366,0.9842569231987
"Tonight, you'll learn to be an animal... ...to live like an animal and to die like one.","today, you know what it's like to be an animal, to live and die as an animal.",0.8787886524580001,0.1136363636363636,0.9932778477668762,0.0030319460202008
What the hell's going on here?,"lieutenant, what is going on here?",0.7245983811040001,0.1142857142857142,0.7933900356292725,4.775390698341653e-05
"In later years, Bobby Kennedy, Martin Luther King... ...men whose commitmentto change and peace... ...made them dangerous to mencommitted to war, would follow... ...also killed by such lonely crazed men.","in the next few years, Bobby Kennedy, Martin Luther King, men who became dangerous by fighting for a better life of peace, also killed by such lonely fools.",0.799094489543,0.230392156862745,0.0093389954417943,0.9964271187782288
There was a dernk?,was there a whore?,0.636775125917,0.0,9.86116792773828e-05,0.9563626646995544
"The ignorant, to be sure, the people- they are like a river on which a boat floats along: and in the boat sit the estimates of value, solemn and disguised.","not wise, it is the people-they resemble the river, on which the boat goes on; and the judging courts sit in the longboat.",0.6848396624549999,0.2115384615384615,0.9979245662689208,0.0009161286288872
"""I'm just a wimp, I guess.""","""I guess I'm just chicken, no.""",0.837948148341,0.125,0.8626262545585632,0.0016440391773357
You're gonna explain to them how upset I am... ...and they better get off their asses and start fighting soon... ...or they'll go back to being a bunch of banana eaters.,"you can explain how it debuted me, and they better move up and fight, or they'll be eating bananas again.",0.6859556081470001,0.3764705882352941,0.994602382183075,0.0002527381584513
"Sometimes it's like, fuck!",sometimes it's like...,0.820615765575,0.1481481481481481,0.9981513619422911,4.016437378595583e-05
They grimace and all fucking run away.,"they make a grimace, and they all run out?",0.6384318663790001,0.0930232558139534,0.9807532429695128,7.569794979644939e-05
This little guy scared the crap out of me.,he scared the shit out of me.,0.8600469021510001,0.3023255813953488,0.0036183660849928,0.5957047939300537
They'd fight about that and then have sex... ... and everything would be all right again.,"they quarrelled about it and then sleep together, and everything will be fine.",0.64761358232,0.1222222222222222,0.9225409030914308,0.0002248421224066
I will want fresh crap.,I want a fresh tie.,0.618189278451,0.1666666666666666,0.996985137462616,4.8879406676860526e-05
"Stu, who the hell are you?",who are you anyway?,0.703896242009,0.2592592592592592,0.996542990207672,8.472712215734646e-05
"She put her soft, strong hand on my chest.","she put her soft, firm hand on my breasts.",0.901176490037,0.0,0.0003460019943304,0.976918876171112
I want you to keep an eye on the emigrants.,I want those emigrants out of sight.,0.694461137747,0.1590909090909091,9.925129415933044e-05,0.9748762249946594
"How about I knock you out for getting me shot at, huh?!",what if I kicked you out as you got me into a gunfight?!,0.621014659819,0.0175438596491228,0.9826785326004028,0.0105264587327837
"Emma, I'm totally convinced... ifyou marry Flap Horton tomorrow, it will be a mistake of such gigantic proportions, it'll ruin your life and make wretched your destiny.","I'm absolutely convinced that if you take Flapo Horton tomorrow, it will be a mistake so gigantic that it will ruin your whole life and make you miserable.",0.794046645923,0.0769230769230769,0.0275567471981048,0.6117913722991943
He was a fine young cannibal.,he was a young cannibal.,0.917835553597,0.1666666666666666,0.0740993916988372,0.7419670224189758
My client is not going to be intimidated by Patty Hewes' scurrilous accusations.,my client won't be intimidated by disgusting accused Patty Hewes.,0.783427710391,0.1851851851851851,0.000731173728127,0.8986667990684509
"Well, one day out of the blue, Heathcliff just decided to sta.","one day, all of a sudden, Heathcliff decides to stab Katharine in the back.",0.671254549472,0.1710526315789473,9.618364128982648e-05,0.5920798778533936
"""My plan was to have you tried in secret by the IF and executed.","""I wanted to be condemned by the MF in secret.",0.617236509522,0.2769230769230769,0.955567479133606,9.135973232332616e-05
She's the one with multiple personality disorder.,she's the one with the missing personality.,0.695478720449,0.12,0.9205031991004944,0.0257492326200008
You don't have evidence to prove a single damn thing.,you have no evidence of anything.,0.683074431451,0.3703703703703703,0.9814239144325256,4.437427924131043e-05
"Why, were all his other girlfriends Bullshit losers?","why, were all his other girls losing their minds?",0.685436739638,0.0566037735849056,0.9995633959770204,0.0031227399595081
"There were no flies on Mrs. Howell's boy Brutus, never had been.",the son of Mrs. Howell Brutus has never been a fool.,0.6804572192020001,0.1846153846153846,0.0001285407633986,0.9880379438400269
We're in the middle of the fucking woods.,we're stuck in the middle of the woods.,0.864553706894,0.0476190476190476,0.9913378953933716,8.293689461424947e-05
It's not like Chubby is gonna pop out of the coffin and kill people if they walk out.,I doubt Chubby will pop out of the coffin and kill people who want to go.,0.7267578515449999,0.1395348837209302,0.0215899851173162,0.983737051486969
"Wereyou to hear it, your mind would cave in and your heart would explode.","if you heard him, your brain would implode and your heart exploded.",0.8193891849670001,0.081081081081081,0.0168712958693504,0.9889618754386902
You know I'm wacko.,you know I'm a maniac.,0.640433290575,0.1304347826086956,0.0760417506098747,0.9595389366149902
She thought she saw Sinclair... ...trying to kill Kosh.,she saw how Sinclair wanted to kill Kosh.,0.8288878422939999,0.25,0.011727001518011,0.9665546417236328
"No, I've got a hard-on for those exams.","no, I have an erection.",0.627792102295,0.4,0.0010311399819329,0.9576864242553712
One of the things that I like to do... Listen. ... is take a completely shit bottle...,one of the things I like to do is buy a horrible bottle...,0.614492647752,0.3218390804597701,0.9983174800872804,0.0421250574290752
It'il go straight to your head.,it goes right to your head.,0.785842678131,0.125,0.975814938545227,0.0638841763138771
These are sex cells.,it's a sex cell.,0.831012223308,0.1904761904761904,0.3104985952377319,0.9915722608566284
"Clark Howard uses the barbed wire for murder number one, and then the unsub gets him back by hanging him with it for murder number two.","Clark Howard will use the barbed wire for the first murder, and the unsub will return it to him by hanging himself up on it.",0.852517032641,0.0808823529411764,0.0345774516463279,0.9663941860198976
"Darling, you're being rude.","dear, you're so rude.",0.880133459641,0.2142857142857142,0.0027846749871969,0.977494180202484
"Now, remember, Chewbacca, you have a responsibility to me, so don't do anything foolish.","now, remember, Chewie, you guarantee me, so don't be foolish.",0.801667585007,0.3033707865168539,0.1894070357084274,0.998276948928833
'Wasn't there any other God available - one of the Troll-Gods maybe?','was there no other good God - one of the Trolls of the gods? ',0.7446940913619999,0.0857142857142857,0.0028123804368078,0.6814429759979248
"I know you can, that's why, when he puts you in the choke move, you're gonna go to sleep, it's that easy.","I know, and that's why if he catches you in the throat and starts to choke, you just fall out, it's going to be easy.",0.7162877028479999,0.1016949152542373,0.0056844651699066,0.8863945007324219
I have been waiting for four goddamn months for this opportunity!,I've been waiting for this option for four months!,0.917551529808,0.2272727272727272,0.9815003871917723,3.770211696974002e-05
"And I just got humiliated at City Council by the fuckhead, Doug Wilson.","they've completely barred me from the City Council, that mutt-head Doug Wilson.",0.7135708687010001,0.1,0.9984130859375,0.0266939159482717
Screw off.,kiss my ass.,0.612034953421,0.1538461538461538,0.3836669325828552,0.9993979930877686
Hurray for Blast!,"Blast, forever!",0.720655328028,0.1111111111111111,8.892594632925466e-05,0.8999844789505005
"I pushed it into Anthony’s face, then let it go before it fried the skin off my hand.",I punched Anthony in the face and then let it fall to the ground before she cut my skin.,0.7668883173700001,0.0337078651685393,0.0395030155777931,0.9704684615135192
"""gut this ho like a trout.""","""I'll cut this bitch like a trout.""",0.687901110179,0.2222222222222222,0.0023578451946377,0.9994540810585022
Why the fuck did you hug my head?,why did you keep my head?,0.772219294909,0.2352941176470588,0.9990604519844056,0.0048369048163294
"“Then your bloody wish is granted,” said a voice from the kitchen door behind him.","""then your wish will come true,"" the voice said from the kitchen door behind him.",0.740698481402,0.0120481927710843,0.975559651851654,4.5329088607104495e-05
"These aren't clothes, this is refuse.","it's not clothes, it's garbage.",0.785238272413,0.1578947368421052,0.0010291144717484,0.9990830421447754
That's what this place feels like:hell.,this is exactly what this place feels like hell.,0.808181775154,0.1836734693877551,0.0316461473703384,0.6056466102600098
Take these handcuffs off of me and let me walk out of here before the shooting starts.,uncuff me and release me before the shooting starts.,0.6359070530709999,0.3908045977011494,0.0844457894563674,0.6553279161453247
"According to Mr Chung's menu, I was born in the year of the pig.","according to Mr. Chung's horoscope, I was born in a pig.",0.826331670174,0.123076923076923,0.0140398442745208,0.9384961724281312
What the fuck is gonna make me leave?,what could cause me to leave you now?,0.612459293856,0.0,0.9975019097328186,5.60389380552806e-05
The filth of Saruman... ... is washing away.,Saruman's filth...... is sailing.,0.699800554531,0.2444444444444444,0.0306033492088317,0.7014691829681396
He runs the tables over to the Triple Ace Club.,he's a bully at the Triple Ace Club.,0.7566729656569999,0.2291666666666666,7.053479930618778e-05,0.9808990955352784
"I'll tell you what, if you let me quit right now...","if you'll let me stop, I'll sleep with you.",0.6029901909759999,0.1538461538461538,0.00013767524797,0.972556471824646
"I thought he was trying to kill me or pick me up... ...but why would he use that, say that? /t's crazy.","I thought he was gonna kill me or he was packing for me, but why would he say that?",0.7614799134219999,0.1923076923076923,0.0298307184129953,0.7426191568374634
And are we to take three people hung as the measure of Mather junior's caution?,and so we hang three people as a precaution for Mather Jr?,0.719295388232,0.2625,0.0010615768842399,0.9553444385528564
"Dude, did you see my kill shot?","dude, did you see my fatal shot?",0.8822498058700001,0.0303030303030303,0.9551714658737184,0.0247126035392284
This is the field where I watched you die.,this is the field I've seen you die.,0.8768352609029999,0.1395348837209302,0.0161405783146619,0.9071108102798462
Do not take that tone with me. Tell the Baron that Lord Clarence MacDonald and his assistant are here to view the tapestries.,you better throw your ass and tell Baron Grumwald that Lord Clarenc McDonald and his assistant have come to inspect the tapestry.,0.653760440683,0.0307692307692307,4.1582577978260815e-05,0.9984549283981324
What are you willing to do to improve your lot in life?,what are you willing to do to change your miserable life?,0.769927368501,0.0344827586206896,6.492654938483611e-05,0.9820590615272522
The droid army is only here because of me. And so many are going to die.,"the droid army is here just for me, and many will die for us.",0.872796941268,0.1506849315068493,0.7088723182678223,0.0167227443307638
"So, you want to fuck with that?",so you want to mess with me?,0.7370162593490001,0.09375,0.9991419315338136,0.0030008240137249
"She stank, reeked; she thought instinctively of baths, of males and quarrels and a thousand lunatic distracted things like impacts at this speed, and the vane that showed intact in the image on Tirun's screens (but it was not, inside, and that could be bad news indeed.)","she smelled, smelled, and instinctively thought of a shower, on men and fights, and a thousand crazy crazy things, like what would happen in a crash at such speed and a stabilizer that looked intact on Tiruna's monitor (but he wasn't there, and that could have been a big deal of trouble).",0.7014166612180001,0.0655172413793103,0.9287399649620056,0.0011245554778724
"So we don't die, we build up a fire, then we find food, and at daybreak we figure out what way is south and we start walking.","we'll die, we'll make a fire, we'll find food, and we'll head south at emphysema.",0.662198006908,0.3492063492063492,0.0001942620438057,0.780471920967102
"Now works for the mayor, if you can fucking believe that.",now he's working for our mayor. Can you believe it?,0.617676997389,0.1034482758620689,0.9931464791297911,4.0689996239962056e-05
"He was running wildly towards them, his absurd net dangling behind him.","he drove frantically toward them, and his ridiculous net chimed in behind him.",0.840279849956,0.0886075949367088,0.0108226891607046,0.9677820205688475
We'll be living a damned lie.,we would live in a lie.,0.796256783045,0.2,0.995245635509491,0.0057467827573418
"Hot flippin' and flappin' smackin' ass cracks together, all right?","hot flippin 'and flappin' smackin 'butt cracks together, okay?",0.810094331345,0.0597014925373134,0.940032422542572,0.0195637810975313
If I would've gotten out with a wallet in my hand... ...I'd have bullets all in my ass!,if I hadn't pulled my wallet... I'd have taken some!,0.6634239074989999,0.3977272727272727,0.997960329055786,5.590848377323709e-05
I just had to kiss you.,I wanted to kiss you.,0.872423411419,0.0833333333333333,0.0102758891880512,0.7812068462371826
"I have zero problem believing this over-privileged frat boy sexually assaulted Kendra, but what's the connection to Larry McPhee's murder?","I have no problem believing that this spoiled brat sexually assaulted Kendra, but what does this have to do with Larry McPhee's murder?",0.787220577854,0.0215827338129496,0.0107487719506025,0.9329336285591124
"That shit wasn't fucking funny, Leo.","that wasn't funny, Leo.",0.856207216978,0.3513513513513513,0.9994994401931764,6.714805931551382e-05
"Ask me nicely and maybe I'll tell you, dwarf.","ask nicely, and I'll tell you what, midget.",0.798511682952,0.0434782608695652,0.1483078598976135,0.9645518660545348
Obadiah went crazy.,Obadiah's gone crazy.,0.913571228806,0.0909090909090909,0.1496452391147613,0.9680082201957704
What the...,what the fuck...,0.810207995303,0.2941176470588235,8.567151962779462e-05,0.9994975328445436
Everyone in my class smokes but I find it yukky.,"everyone in my class is smoking, but it's disgusting.",0.66237061948,0.0925925925925925,0.0360986553132534,0.9569870829582214
I always thought that I was 100% lesbian-ic until you came along.,I've always been 100% lesbian until you've turned up.,0.813465360697,0.1818181818181818,0.0705037787556648,0.9767515659332277
Because a dude boss would be a jerk If he didn't come to Lutz's bachelor party.,because the boss as a man would definitely go to Lutz's bachelor party.,0.779639575431,0.1,0.9906420111656188,0.0012234796304255
Goddamn !,"oh, God.",0.62938454372,0.1,0.9938358664512634,8.177048584911972e-05
You scared the shit out of me!,you scared me to death!,0.77349969831,0.2258064516129032,0.6739662885665894,0.0046126120723783
"For women, breasts are the body part that most profoundly...","for women, breasts are a very important part on her body...",0.789176926924,0.0163934426229508,0.0194038599729537,0.6747747659683228
"And I would hate myself if I gave up a great pair of jeans for some sucky, raggedy cutoffs.",and I would hate myself if I gave up my great jeans for ugly shorts.,0.8329466606999999,0.25,0.9008697271347046,0.0069913072511553
Listen... what the hell?,listen... what does it mean?,0.854027911584,0.1379310344827586,0.94150710105896,3.613707303884439e-05
"If she wanted to sleep with you, would you sleep with her?","if she wanted to have sex with you, would you have sex with her?",0.778475275467,0.0923076923076923,0.0054439823143184,0.9975281357765198
"""Their souls!"" ""Their souls, doomed to an eternity of damnation!""","their souls doomed... to eternal damnation. """,0.745789797756,0.303030303030303,0.8399409055709839,0.0497229099273681
The one who carves the pig.,the one who's cutting the meat.,0.613501555567,0.125,0.934497058391571,0.0003905560006387
"Just for you, black man.","just for you, buddy.",0.602435193046,0.16,0.956066071987152,5.124494055053219e-05
"Sarein's eyes were large and dark, her skin a deep bronze.","Sarein had big black eyes and very dark skin, slim hips and small breasts.",0.7277257563799999,0.2133333333333333,0.0001927470875671,0.7970256209373474
Don't fuck this up.,don't screw it up.,0.798153203763,0.05,0.972099244594574,0.0007371675455942
"Fog's thicker than your head, man.",the fog is thicker than you.,0.769721267882,0.1714285714285714,0.6078404188156128,0.0011384973768144
"There are treasures in the monastery, everybody around knows it","the convent is devilish, everyone in the area knows it.",0.6559768706,0.125,4.475250534596853e-05,0.8481831550598145
To kill Elizabeth will be no murder.,killing Elisabeth is not murder.,0.891691047896,0.1081081081081081,0.975442111492157,0.1976292133331298
"Well, I don't like your god.",I don't like your God.,0.949390686563,0.2068965517241379,0.1051266863942146,0.9335039854049684
"He's probably laughing his ass off in some cafe in Paris, about sending us on a wild goose chase to rural Colombia.","he may be bursting into laughter somewhere, in a coffee shop in Paris, for sending us to a wild chase somewhere in Colombia.",0.7238804686820001,0.072,0.9684391021728516,5.323708319338039e-05
"We even got horse pussy, dog pussy, chicken pussy.","you can have horse, dog and chicken.",0.736602045649,0.2745098039215686,0.9985675811767578,0.0002590381773188
Man remained a savage animal.,a man remained a wild animal.,0.921388556337,0.0,0.7268766760826111,0.0061366064473986
He can't keep hold of his ass.,he can't even handle his donkey.,0.653168492201,0.0606060606060606,0.9993250370025636,0.0206458438187837
No. That would be ridiculous!,"no, that would be absurd!",0.889241225035,0.1333333333333333,0.9616572260856628,0.001198258367367
"That's a fucking story, man.","that's a hell of a story, man.",0.8971399057430001,0.064516129032258,0.99936181306839,0.000774054438807
"Or maybe she's just some crazed fan, Like kathy bates in ""misery.""","or she's just a crazy groupie like Katy Bates in ""Misery doesn't want to die.""",0.7099355969660001,0.1518987341772152,0.0413458608090877,0.9367554187774658
"Funny, I didn't think I would miss him so much.","ridiculous, I didn't think I'd be missed.",0.600251607714,0.125,4.526264820015058e-05,0.986171305179596
"Your being a spy is a secret that, in order to sell, you would first have to reveal, and once revealed, it would be of no further worth, unless it was worth a stab in the back.","that you're our scout, that's a secret you might have to reveal so you can sell them, and once revealed to be losing the price, stands at the most to stab a dagger.",0.6717627804440001,0.0677966101694915,0.9573042392730712,0.0016253871144726
"Even if he had—even if he'd conjured the sight of N'ashap with his breeches down and his Oethac prick purple—he could not have imagined Pie loh' pah's condition, given that in all their months together he had never once seen the mystif naked.","even if he could, even if he could draw the N'ashap on his butt and his ethic purple penis - he could not imagine Pie 'oh' pah, because he had not seen the mystif naked for months.",0.811780812449,0.2551440329218107,0.0003902568132616,0.9970982074737548
